Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086338,2016,10,03,13.7
IDCJAC0016,086338,2016,10,04,13.2
IDCJAC0016,086338,2016,10,05,7.5
IDCJAC0016,086338,2016,10,06,22.6
IDCJAC0016,086338,2016,10,07,7.8
IDCJAC0016,086338,2016,10,08,23.0
IDCJAC0016,086338,2016,10,09,14.1
IDCJAC0016,086338,2016,10,10,18.4
IDCJAC0016,086338,2016,10,11,16.7
IDCJAC0016,086338,2016,10,12,12.9
IDCJAC0016,086338,2016,10,13,22.8
IDCJAC0016,086338,2016,10,14,24.5
IDCJAC0016,086338,2016,10,15,21.8
IDCJAC0016,086338,2016,10,16,8.0
IDCJAC0016,086338,2016,10,17,14.8
IDCJAC0016,086338,2016,10,18,16.5
IDCJAC0016,086338,2016,10,19,22.1
IDCJAC0016,086338,2016,10,20,25.6
IDCJAC0016,086338,2016,10,21,1.9
IDCJAC0016,086338,2016,10,22,16.9
IDCJAC0016,086338,2016,10,23,18.7
IDCJAC0016,086338,2016,10,24,20.3
IDCJAC0016,086338,2016,10,25,23.1
IDCJAC0016,086338,2016,10,26,9.0
IDCJAC0016,086338,2016,10,27,25.8
IDCJAC0016,086338,2016,10,28,26.5
IDCJAC0016,086338,2016,10,29,25.8
IDCJAC0016,086338,2016,10,30,19.5
IDCJAC0016,086338,2016,10,31,19.0
IDCJAC0016,086338,2016,11,01,17.7
IDCJAC0016,086338,2016,11,02,13.3
IDCJAC0016,086338,2016,11,03,28.0
IDCJAC0016,086338,2016,11,04,24.9
IDCJAC0016,086338,2016,11,05,10.8
IDCJAC0016,086338,2016,11,06,25.2
IDCJAC0016,086338,2016,11,07,15.9
IDCJAC0016,086338,2016,11,08,28.9
IDCJAC0016,086338,2016,11,09,22.0
IDCJAC0016,086338,2016,11,10,20.3
IDCJAC0016,086338,2016,11,11,29.1
IDCJAC0016,086338,2016,11,12,17.0
IDCJAC0016,086338,2016,11,13,9.7
IDCJAC0016,086338,2016,11,14,14.8
IDCJAC0016,086338,2016,11,15,17.1
IDCJAC0016,086338,2016,11,16,25.8
IDCJAC0016,086338,2016,11,17,28.8
IDCJAC0016,086338,2016,11,18,15.6
IDCJAC0016,086338,2016,11,19,29.9
IDCJAC0016,086338,2016,11,20,22.1
IDCJAC0016,086338,2016,11,21,19.8
IDCJAC0016,086338,2016,11,22,1.5
IDCJAC0016,086338,2016,11,23,16.9
IDCJAC0016,086338,2016,11,24,21.6
IDCJAC0016,086338,2016,11,25,15.7
IDCJAC0016,086338,2016,11,26,18.8
IDCJAC0016,086338,2016,11,27,10.1
IDCJAC0016,086338,2016,11,28,24.4
IDCJAC0016,086338,2016,11,29,31.0
IDCJAC0016,086338,2016,11,30,9.6
IDCJAC0016,086338,2016,12,01,28.0
IDCJAC0016,086338,2016,12,02,29.7
IDCJAC0016,086338,2016,12,03,31.2
IDCJAC0016,086338,2016,12,04,14.1
IDCJAC0016,086338,2016,12,05,21.6
IDCJAC0016,086338,2016,12,06,24.2
IDCJAC0016,086338,2016,12,07,30.8
IDCJAC0016,086338,2016,12,08,11.6
IDCJAC0016,086338,2016,12,09,23.2
IDCJAC0016,086338,2016,12,10,24.2
IDCJAC0016,086338,2016,12,11,27.0
IDCJAC0016,086338,2016,12,12,30.0
IDCJAC0016,086338,2016,12,13,14.1
IDCJAC0016,086338,2016,12,14,21.3
IDCJAC0016,086338,2016,12,15,30.8
IDCJAC0016,086338,2016,12,16,20.5
IDCJAC0016,086338,2016,12,17,22.5
IDCJAC0016,086338,2016,12,18,30.3
IDCJAC0016,086338,2016,12,19,29.3
IDCJAC0016,086338,2016,12,20,26.0
IDCJAC0016,086338,2016,12,21,28.8
IDCJAC0016,086338,2016,12,22,29.6
IDCJAC0016,086338,2016,12,23,28.7
IDCJAC0016,086338,2016,12,24,26.3
IDCJAC0016,086338,2016,12,25,32.3
IDCJAC0016,086338,2016,12,26,10.2
IDCJAC0016,086338,2016,12,27,5.8
IDCJAC0016,086338,2016,12,28,15.1
IDCJAC0016,086338,2016,12,29,15.7
IDCJAC0016,086338,2016,12,30,28.8
IDCJAC0016,086338,2016,12,31,30.8
