Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2016,07,24,4.7,1,Y
IDCJAC0011,086338,2016,07,25,6.3,1,Y
IDCJAC0011,086338,2016,07,26,6.5,1,Y
IDCJAC0011,086338,2016,07,27,7.5,1,Y
IDCJAC0011,086338,2016,07,28,6.9,1,Y
IDCJAC0011,086338,2016,07,29,10.2,1,Y
IDCJAC0011,086338,2016,07,30,9.1,1,Y
IDCJAC0011,086338,2016,07,31,10.3,1,Y
IDCJAC0011,086338,2016,08,01,11.2,1,Y
IDCJAC0011,086338,2016,08,02,8.5,1,Y
IDCJAC0011,086338,2016,08,03,8.7,1,Y
IDCJAC0011,086338,2016,08,04,4.9,1,Y
IDCJAC0011,086338,2016,08,05,3.4,1,Y
IDCJAC0011,086338,2016,08,06,5.8,1,Y
IDCJAC0011,086338,2016,08,07,7.6,1,Y
IDCJAC0011,086338,2016,08,08,5.0,1,Y
IDCJAC0011,086338,2016,08,09,9.7,1,Y
IDCJAC0011,086338,2016,08,10,9.6,1,Y
IDCJAC0011,086338,2016,08,11,6.8,1,Y
IDCJAC0011,086338,2016,08,12,7.7,1,Y
IDCJAC0011,086338,2016,08,13,7.9,1,Y
IDCJAC0011,086338,2016,08,14,8.5,1,Y
IDCJAC0011,086338,2016,08,15,10.2,1,Y
IDCJAC0011,086338,2016,08,16,10.0,1,Y
IDCJAC0011,086338,2016,08,17,12.5,1,Y
IDCJAC0011,086338,2016,08,18,7.1,1,Y
IDCJAC0011,086338,2016,08,19,15.3,1,Y
IDCJAC0011,086338,2016,08,20,6.9,1,Y
IDCJAC0011,086338,2016,08,21,9.5,1,Y
IDCJAC0011,086338,2016,08,22,7.8,1,Y
IDCJAC0011,086338,2016,08,23,7.0,1,Y
IDCJAC0011,086338,2016,08,24,3.7,1,Y
IDCJAC0011,086338,2016,08,25,6.5,1,Y
IDCJAC0011,086338,2016,08,26,7.2,1,Y
IDCJAC0011,086338,2016,08,27,9.3,1,Y
IDCJAC0011,086338,2016,08,28,10.5,1,Y
IDCJAC0011,086338,2016,08,29,8.7,1,Y
IDCJAC0011,086338,2016,08,30,10.2,1,Y
IDCJAC0011,086338,2016,08,31,12.8,1,Y
IDCJAC0011,086338,2016,09,01,11.6,1,N
IDCJAC0011,086338,2016,09,02,9.6,1,N
IDCJAC0011,086338,2016,09,03,10.0,1,N
IDCJAC0011,086338,2016,09,04,10.1,1,N
IDCJAC0011,086338,2016,09,05,12.8,1,N
IDCJAC0011,086338,2016,09,06,9.2,1,N
IDCJAC0011,086338,2016,09,07,9.6,1,N
IDCJAC0011,086338,2016,09,08,13.1,1,N
IDCJAC0011,086338,2016,09,09,16.0,1,N
IDCJAC0011,086338,2016,09,10,11.5,1,N
IDCJAC0011,086338,2016,09,11,7.3,1,N
IDCJAC0011,086338,2016,09,12,9.9,1,N
IDCJAC0011,086338,2016,09,13,9.6,1,N
IDCJAC0011,086338,2016,09,14,10.5,1,N
IDCJAC0011,086338,2016,09,15,8.7,1,N
IDCJAC0011,086338,2016,09,16,9.0,1,N
IDCJAC0011,086338,2016,09,17,11.1,1,N
IDCJAC0011,086338,2016,09,18,10.8,1,N
IDCJAC0011,086338,2016,09,19,8.5,1,N
IDCJAC0011,086338,2016,09,20,9.1,1,N
IDCJAC0011,086338,2016,09,21,10.9,1,N
IDCJAC0011,086338,2016,09,22,9.6,1,N
IDCJAC0011,086338,2016,09,23,9.8,1,N
IDCJAC0011,086338,2016,09,24,10.0,1,N
IDCJAC0011,086338,2016,09,25,9.5,1,N
IDCJAC0011,086338,2016,09,26,8.1,1,N
IDCJAC0011,086338,2016,09,27,7.4,1,N
IDCJAC0011,086338,2016,09,28,7.5,1,N
IDCJAC0011,086338,2016,09,29,12.5,1,N
IDCJAC0011,086338,2016,09,30,9.3,1,N
IDCJAC0011,086338,2016,10,01,11.6,1,Y
IDCJAC0011,086338,2016,10,02,12.1,1,Y
IDCJAC0011,086338,2016,10,03,11.1,1,Y
IDCJAC0011,086338,2016,10,04,10.6,1,Y
